date,open,high,low,close,volume
2021-10-04 11:30:00,427.89,428.67,426.36,427.45,15853092
2021-10-04 12:30:00,427.46,428.25,426.5,427.23,11443066
2021-10-04 13:30:00,427.22,428.55,427.17,427.7501,11312892
2021-10-04 14:30:00,427.75,429.22,427.3144,427.635,13096646
2021-10-04 15:30:00,427.63,429.04,427.32,428.69,20283258
2021-10-05 09:30:00,430.24,433.79,429.39,433.74,20010757
2021-10-05 10:30:00,433.74,435.18,433.16,434.65,14774114
2021-10-05 11:30:00,434.64,435.17,433.78,434.225,9139048
2021-10-05 12:30:00,434.23,434.72,433.85,434.54,8335309
2021-10-05 13:30:00,434.53,435.37,434.43,435.14,7066930
2021-10-05 14:30:00,435.14,435.49,434.35,434.445,9923396
2021-10-05 15:30:00,434.45,434.85,432.85,433.05,13468068
2021-10-06 09:30:00,429.27,431.32,427.54,430.562,26106787
2021-10-06 10:30:00,430.54,431.52,429.44,429.57,14006310
2021-10-06 11:30:00,429.58,431.21,429.08,429.58,10453658
2021-10-06 12:30:00,429.57,431.27,429.19,431.26,8424475
2021-10-06 13:30:00,431.25,434.21,431.19,433.99,15636642
2021-10-06 14:30:00,433.98,434.53,433.15,433.95,13536019
2021-10-06 15:30:00,433.94,435.1199,433.03,434.91,12608335
2021-10-07 09:30:00,438.39,441.68,438.24,441.41,20373329
2021-10-07 10:30:00,441.41,441.6,440.46,440.85,8628847
2021-10-07 11:30:00,440.87,441.55,440.7601,441.0,5262611
2021-10-07 12:30:00,441.0,441.31,440.7,441.205,4694530
2021-10-07 13:30:00,441.2,441.22,439.84,439.9501,7240504
2021-10-07 14:30:00,439.96,440.085,438.88,439.6099,8472400
2021-10-07 15:30:00,439.59,439.72,438.2,438.64,9662628
2021-10-08 09:30:00,439.48,439.89,437.97,438.98,14333014
2021-10-08 10:30:00,438.98,439.41,438.0401,439.0,8524036
2021-10-08 11:30:00,439.01,439.095,437.81,437.87,5884088
2021-10-08 12:30:00,437.86,438.67,437.19,437.48,5858620
2021-10-08 13:30:00,437.46,439.2001,437.285,439.17,6232699
2021-10-08 14:30:00,439.17,439.31,438.61,438.85,5923881
2021-10-08 15:30:00,438.84,438.9,437.48,437.83,11470041
2021-10-11 09:30:00,437.16,440.26,436.9,440.15,9810834
2021-10-11 10:30:00,440.16,440.23,439.13,439.38,5665078
2021-10-11 11:30:00,439.38,440.14,438.21,438.63,6021150
2021-10-11 12:30:00,438.62,438.65,436.28,436.47,7550422
2021-10-11 13:30:00,436.46,437.32,435.93,436.56,7700143
2021-10-11 14:30:00,436.54,437.07,435.85,435.885,6839798
2021-10-11 15:30:00,435.9,436.19,434.62,434.66,11858933
2021-10-12 09:30:00,435.67,436.1,433.5,434.68,16395683
2021-10-12 10:30:00,434.6799,435.5,433.98,434.795,8040524
2021-10-12 11:30:00,434.8,436.07,434.25,435.163,5767664
2021-10-12 12:30:00,435.17,435.21,433.74,434.26,5622718
2021-10-12 13:30:00,434.24,435.57,434.06,434.93,6083296
2021-10-12 14:30:00,434.95,435.0915,433.7,434.17,7939349
2021-10-12 15:30:00,434.16,434.35,432.78,433.63,12131720
2021-10-13 09:30:00,434.71,435.3,431.54,431.96,16402131
2021-10-13 10:30:00,431.96,433.44,431.76,432.91,9584239
2021-10-13 11:30:00,432.91,434.25,432.31,433.92,6124326
2021-10-13 12:30:00,433.92,434.6999,433.32,434.6564,4560507
2021-10-13 13:30:00,434.65,436.05,434.13,434.67,10779163
2021-10-13 14:30:00,434.66,435.16,433.94,434.44,7894463
2021-10-13 15:30:00,434.45,435.37,434.43,435.13,9300198
2021-10-14 09:30:00,439.08,440.9699,438.58,440.59,14768615
2021-10-14 10:30:00,440.6,441.34,440.33,441.14,6735670
2021-10-14 11:30:00,441.135,442.16,441.021,441.8947,5563376
2021-10-14 12:30:00,441.9,442.25,441.59,441.71,5235354
2021-10-14 13:30:00,441.715,442.51,441.715,442.5,5605192
2021-10-14 14:30:00,442.5,442.59,441.93,442.135,7275663
2021-10-14 15:30:00,442.135,442.66,441.64,442.47,13101430
2021-10-15 09:30:00,444.75,445.7,444.09,444.469,15090909
2021-10-15 10:30:00,444.44,445.54,444.44,445.21,8140427
2021-10-15 11:30:00,445.2,445.36,444.59,444.99,4589828
2021-10-15 12:30:00,444.991,445.43,444.8101,445.1199,3265673
2021-10-15 13:30:00,445.12,446.26,445.12,446.07,7344090
2021-10-15 14:30:00,446.07,446.13,445.36,445.825,8352118
2021-10-15 15:30:00,445.82,445.94,445.38,445.83,9844189
2021-10-18 09:30:00,443.97,445.77,443.27,445.72,11589089
2021-10-18 10:30:00,445.73,446.99,445.19,446.465,7067622
2021-10-18 11:30:00,446.47,447.02,445.7694,446.77,7371941
2021-10-18 12:30:00,446.76,446.9,446.42,446.8,2955114
2021-10-18 13:30:00,446.81,446.9299,446.45,446.73,3973656
2021-10-18 14:30:00,446.73,447.36,446.59,447.0701,6235979
2021-10-18 15:30:00,447.07,447.55,446.85,447.2225,14128250
2021-10-19 09:30:00,448.92,449.76,448.27,449.71,10303854
2021-10-19 10:30:00,449.72,450.26,449.02,450.07,5877609
2021-10-19 11:30:00,450.08,450.38,449.83,450.18,4600935
2021-10-19 12:30:00,450.18,450.56,450.17,450.225,3304001
2021-10-19 13:30:00,450.22,450.47,450.03,450.045,3818856
2021-10-19 14:30:00,450.05,450.69,449.6,450.395,5913845
